,secID,publishDate,endDate,endDateRep,partyID,ticker,secShortName,exchangeCD,actPubtime,mergedFlag,reportType,fiscalPeriod,accoutingStandards,currencyCD,CFrSaleGS,NDeposIncrCFI,NIncrBorrFrCB,NIncBorrOthFI,premFrOrigContr,NReinsurPrem,NIncPhDeposInv,NIncDispTradFA,IFCCashIncr,NIncFrBorr,NCApIncrRepur,refundOfTax,CFrOthOperateA,CInfFrOperateA,CPaidGS,NIncDisburOfLA,NIncrDeposInFI,origContrCIndem,CPaidIFC,CPaidPolDiv,CPaidToForEmpl,CPaidForTaxes,CPaidForOthOpA,COutfOperateA,NCFOperateA,procSellInvest,gainInvest,dispFixAssetsOth,NDispSubsOthBizC,CFrOthInvestA,CInfFrInvestA,purFixAssetsOth,CPaidInvest,NIncrPledgeLoan,NCPaidAcquis,CPaidOthInvestA,COutfFrInvestA,NCFFrInvestA,CFrCapContr,CFrMinoSSubs,CFrBorr,CFrIssueBond,CFrOthFinanA,CInfFrFinanA,CPaidForDebts,CPaidDivProfInt,divProfSubsMinoS,CPaidOthFinanA,COutfFrFinanA,NCFFrFinanA,forexEffects,NChangeInCash,NCEBegBal,NCEEndBal,cashflow,preCashflow,pct_chg
0,000848.XSHE,2021-04-27,2020-12-31,2020-12-31,395,000848,承德露露,XSHE,2021-04-26 20:20:35,1,A,12,CHAS_2007,CNY,1911257700.04,,,,,,,,,,,1866.81,41097415.94,1952356982.79,908600288.95,,,,,,141109278.14,292445354.99,231651695.96,1573806618.04,378550364.75,,,,,,0.0,14560501.2,,,,,14560501.2,-14560501.2,,,,,,,,195732795.49,,29999722.84,225732518.33,-225732518.33,,138257345.22,2203622278.61,2341879623.83,393110865.95,684104741.79,-0.425364506433
1,000848.XSHE,2021-04-27,2019-12-31,2020-12-31,395,000848,承德露露,XSHE,2021-04-26 20:20:35,1,A,12,CHAS_2007,CNY,2540621998.26,,,,,,,,,,,,24817562.61,2565439560.87,1034588937.04,,,,,,222604180.01,324709581.63,308113172.8,1890015871.48,675423689.39,,,367830.85,,,367830.85,9048883.25,,,,,9048883.25,-8681052.4,,,,,,,,390263372.81,,,390263372.81,-390263372.81,,276479264.18,1927143014.43,2203622278.61,684104741.79,534888100.33,0.278967958659
2,000848.XSHE,2020-03-28,2018-12-31,2019-12-31,395,000848,承德露露,XSHE,2020-03-27 20:10:34,1,A,12,CHAS_2007,CNY,2566114971.82,,,,,,,,,,,,38269231.41,2604384203.23,1121990994.82,,,,,,212268432.63,334060290.79,413110258.69,2081429976.93,522954226.3,,,60590.12,,,60590.12,11994464.15,,,,,11994464.15,-11933874.03,,,,,,,,489536647.71,,,489536647.71,-489536647.71,,21483704.56,1905659309.87,1927143014.43,534888100.33,162364400.59,2.29436809046
3,000848.XSHE,2019-03-16,2017-12-31,2018-12-31,395,000848,承德露露,XSHE,2019-03-15 20:33:27,1,A,12,CHAS_2007,CNY,2166810589.51,,,,,,,,,,,400041.0,46853457.32,2214064087.83,1281056934.65,,,,,,169265197.81,332984229.37,281972222.22,2065278584.05,148785503.78,,,825201.0,,,825201.0,14404097.81,,,,,14404097.81,-13578896.81,,,,,,,,391425091.2,,,391425091.2,-391425091.2,,-256218484.23,2161877794.1,1905659309.87,162364400.59,852703988.45,-0.809588787212
4,000848.XSHE,2018-03-17,2016-12-31,2017-12-31,395,000848,承德露露,XSHE,2018-03-16 20:35:55,1,A,12,CHAS_2007,CNY,3067535323.6,,,,,,,,,,,1050304.0,26567136.08,3095152763.68,1368897525.97,,,,,,158855489.76,381168041.27,354749675.98,2263670732.98,831482030.7,,,245594.0,,,245594.0,14467551.75,7000000.0,,,,21467551.75,-21221957.75,,,,,,,,150548112.0,,,150548112.0,-150548112.0,,659711960.95,1502165833.15,2161877794.1,852703988.45,848110674.07,0.00541593747188
5,000848.XSHE,2017-04-28,2015-12-31,2016-12-31,395,000848,承德露露,XSHE,2017-04-27 20:21:25,1,A,12,CHAS_2007,CNY,3234243105.88,,,,,,,,,,,497878.0,31987505.12,3266728489.0,1550209493.9,,,,,,154035056.45,344349266.57,422505644.85,2471099461.77,795629027.23,,,595361.1,,,595361.1,53077007.94,,,,,53077007.94,-52481646.84,,,,,,,,106890408.0,6525000.0,,106890408.0,-106890408.0,,636256972.39,865908860.76,1502165833.15,848110674.07,359184515.83,1.36121168005
6,000848.XSHE,2016-03-11,2014-12-31,2015-12-31,395,000848,承德露露,XSHE,2016-03-10 19:04:42,1,A,12,CHAS_2007,CNY,2793163165.1,,,,,,,,,,,4693392.0,25014357.74,2822870914.84,1597640426.77,,,,,,146295881.77,359135903.27,390247482.73,2493319694.54,329551220.3,,,54510.0,,,54510.0,29687805.53,,,,,29687805.53,-29633295.53,,,,,,,,149211571.2,8700000.0,,149211571.2,-149211571.2,,150706353.57,715202507.19,865908860.76,359184515.83,336900124.33,0.0661453941114
7,000848.XSHE,2015-03-20,2013-12-31,2014-12-31,395,000848,承德露露,XSHE,2015-03-19 20:40:08,1,A,12,CHAS_2007,CNY,3138807963.11,,,,,,,,,,,3253806.45,21832731.7,3163894501.26,1939769112.47,,,,,,136353504.22,321887749.34,452226390.72,2850236756.75,313657744.51,,,,,,,23242379.82,,,,,23242379.82,-23242379.82,,,,,,,,126238489.6,,,126238489.6,-126238489.6,,164176875.09,551025632.1,715202507.19,336900124.33,482880308.5,-0.302311321461
8,000848.XSHE,2014-03-12,2012-12-31,2013-12-31,395,000848,承德露露,XSHE,2014-03-11 17:45:34,1,A,12,CHAS_2007,CNY,2398163914.25,,,,,,,,,,,697472.0,15497760.03,2414359146.28,1424022539.18,,,,,,112627317.19,223121686.75,327347647.93,2087119191.05,327239955.23,,,74790.31,,,74790.31,155715143.58,,,,,155715143.58,-155640353.27,,,,,,,,182482560.0,,,182482560.0,-182482560.0,,-10882958.04,561908590.14,551025632.1,482880308.5,392541476.71,0.230138309325
9,000848.XSHE,2013-04-20,2011-12-31,2012-12-31,395,000848,承德露露,XSHE,2013-04-19 18:00:00,1,A,12,CHAS_2007,CNY,2268369206.55,,,,,,,,,,,300308.0,10882881.2,2279552395.75,1416122751.45,,,,,,91368643.68,164744657.05,274898825.58,1947134877.76,332417517.99,,,59679.0,,,59679.0,60183637.72,,,,,60183637.72,-60123958.72,,,,,,,,182482560.0,,,182482560.0,-182482560.0,,89810999.27,472097590.87,561908590.14,392541476.71,360370101.07,0.0892731543057
10,000848.XSHE,2012-04-26,2010-12-31,2011-12-31,395,000848,承德露露,XSHE,2012-04-25 18:00:00,1,A,12,CHAS_2007,CNY,2297517575.06,,,,,,,,,,,300402.0,1212580.94,2299030558.0,1442295370.63,,,,,80707232.35,,184269953.05,275246255.92,1982518811.95,316511746.05,,,295100.0,,3544791.86,3839891.86,47698246.88,,,,,47698246.88,-43858355.02,,,,,,,,78934400.0,,66754.83,79001154.83,-79001154.83,,193652236.2,278445354.67,472097590.87,360370101.07,315242302.8,0.143152736385
11,000848.XSHE,2011-03-31,2009-12-31,2010-12-31,395,000848,承德露露,XSHE,2011-03-30 18:00:00,1,A,12,CHAS_2007,CNY,1609065635.64,,,,,,,,,,,166387.0,1071674.5,1610303697.14,940334390.9,,,,,,49675524.52,131312464.24,199120275.23,1320442654.89,289861042.25,,,363185.0,,1549513.64,1912698.64,27293959.19,,,,,27293959.19,-25381260.55,,,,,,,50000000.0,79908400.0,3625000.0,49531.09,129957931.09,-129957931.09,,134521850.61,143923504.06,278445354.67,315242302.8,172059497.75,0.832170306913
12,000848.XSHE,2010-04-24,2008-12-31,2009-12-31,395,000848,承德露露,XSHE,2010-04-23 18:00:00,1,A,12,CHAS_2007,CNY,1773881308.84,,,,,,,,,,,155879.0,4379145.13,1778416332.97,1207866963.27,,,,,,53836703.52,150486389.79,198494273.8,1610684330.38,167732002.59,,,145000.0,,1522557.42,1667557.42,5995052.58,,,,,5995052.58,-4327495.16,,,100000000.0,,,100000000.0,200000000.0,92325410.04,,16300982.38,308626392.42,-208626392.42,,-45221884.99,189145389.05,143923504.06,172059497.75,211842198.27,-0.187794031807
13,000848.XSHE,2009-03-24,2007-12-31,2008-12-31,395,000848,承德露露,XSHE,2009-03-23 18:00:00,1,A,12,CHAS_2007,CNY,1619317247.87,,,,,,,,,,,58707.0,3529382.39,1622905337.26,1077095437.46,,,,,,51148016.82,163613859.47,192359405.21,1484216718.96,138688618.3,15000000.0,,7150937.83,,1169264.21,23320202.04,6473782.01,,,,90000000.0,96473782.01,-73153579.97,,,270000000.0,,,270000000.0,370000000.0,44338595.63,11866511.61,57747.7,414396343.33,-144396343.33,,-78861305.0,268006694.05,189145389.05,211842198.27,556798407.97,-0.619535193999
14,000848.XSHE,2008-04-18,2006-12-31,2007-12-31,395,000848,承德露露,XSHE,2008-04-17 18:00:00,1,A,12,CHAS_2007,CNY,1245749618.86,,,,,,,,,,,80454.0,23686921.25,1269516994.11,674669081.69,,,,,,36768493.56,129722372.78,115512475.81,956672423.84,312844570.27,,,62000.0,,836027.0,898027.0,4337864.7,29814000.0,,,210700000.0,244851864.7,-243953837.7,,,420000000.0,,,420000000.0,428400000.0,20437136.39,,54477.45,448891613.84,-28891613.84,,39999118.73,228007575.32,268006694.05,556798407.97,156135910.01,2.56611370142
15,000848.XSHE,2006-04-28,2005-12-31,2005-12-31,395,000848,承德露露,XSHE,2006-04-27 18:00:00,1,A,12,CHAS_2007,CNY,1421207897.33,,,,,,,,,,,0.0,206883071.08,1628090968.41,825706085.99,,,,,,38288052.45,113691620.08,504508609.19,1482194367.71,145896600.7,510000.0,242042.63,114500.0,,,866542.63,11105851.94,0.0,,,,11105851.94,-10239309.31,,,318900000.0,,,318900000.0,275320000.0,41238471.33,,320000000.0,636558471.33,-317658471.33,,-182001179.94,410008755.26,228007575.32,156135910.01,99084325.51,0.575788190578
16,000848.XSHE,2005-03-29,2004-12-31,2004-12-31,395,000848,承德露露,XSHE,2005-03-28 18:00:00,1,A,12,CHAS_2007,CNY,1110986090.74,,,,,,,,,,,0.0,338128711.57,1449114802.31,781299222.56,,,,,,43776133.81,123740675.38,407529640.66,1356345672.41,92769129.9,,0.0,515000.0,,,515000.0,6830195.61,0.0,,,,6830195.61,-6315195.61,,,349820000.0,,,349820000.0,345120000.0,64494012.69,,,409614012.69,-59794012.69,,26659921.6,383348833.66,410008755.26,99084325.51,106387328.95,-0.0686454252783
17,000848.XSHE,2004-03-23,2003-12-31,2003-12-31,395,000848,承德露露,XSHE,2004-03-22 18:00:00,1,A,12,CHAS_2007,CNY,1270694998.07,,,,,,,,,,,60013.0,1405013.82,1272160024.89,880116194.07,,,,,,34910787.08,75255301.62,201986987.16,1192269269.93,79890754.96,,18000.0,,,,18000.0,10014573.99,16500000.0,,,,26514573.99,-26496573.99,,,47120000.0,,,47120000.0,,16264352.84,,,16264352.84,30855647.16,,84249828.13,299099005.53,383348833.66,106387328.95,258435864.81,-0.588341467125
18,000848.XSHE,2003-03-25,2002-12-31,2002-12-31,395,000848,承德露露,XSHE,2003-03-24 18:00:00,1,A,12,CHAS_2007,CNY,1216921791.29,,,,,,,,,,,433353.0,3538738.41,1220893882.7,754410046.25,,,,,,33223589.31,76926076.55,201951328.29,1066511040.4,154382842.3,,307500.0,,,,307500.0,104360522.51,,,,,104360522.51,-104053022.51,24500000.0,,155000000.0,,,179500000.0,90030000.0,178481949.49,,,268511949.49,-89011949.49,,-38682129.7,337781135.23,299099005.53,258435864.81,,
